root	surfaces	lex	type	active	Id	flags	rules	Dil	anlam
Eflatun			E		OZEL	özel, ad		YU	Açık mor. 
Efrahim			E		OZEL	özel, ad		IB	Hz. Yusuf un ikinci oğlu. Orta Filistin'de yerleşen İsrail kabilesine adını verdiği söylenir. Bu kabile Hz. Süleyman'ın ölümünden sonra asıl İsrail topluluğunun 12 kola ayrılmasında etken oldu.
Efras			E		OZEL	özel, ad		AR	Atlar, beygirler, kısraklar.
Efrasiyap			E		OZEL	özel, ad		PE	Turan Türkleri büyük kahraman kağanının Farsça adı. Alp er Tonga asıl adıdır. Büyük İskender'den evvel yaşamıştır. Kaşgar'daki ilk müslüman Türk sülalesi Karahanlıların Afrasiyab neslinden geldiği söylenmektedir. Alper Tonga Hüsrev tarafıandan öldürülmüştür.
Efraz			K		OZEL	özel, ad		PE	Kaldıran, yükselten.Firar. Yükselten, mümtaz, büyük, meşhur, maruf.
Efridun			E		OZEL	özel, ad		PE	.Cemşid soyundan anlayış ve zekasıyla meşhur bir İran hükümdarı.
Efruğ			U		OZEL	özel, ad		PE	.Parıltı, ışık. 
Efruz			U		OZEL	özel, ad		PE	Şule, parıltı. 
Efsane			K		OZEL	özel, ad		PE	Asılsız hikaye. 
Efser			U		OZEL	özel, ad		PE	.Taç. 
Efsun			K		OZEL	özel, ad		PE	Efsun, büyü, sihir, gözbağcılık,(bkz. Füsun).
Efşan			K		OZEL	özel, ad		PE	Eklendiği kelimelere "saçan, dağıtan, serpen, silken" manası verir..Gülefşan
Efza			U		OZEL	özel, ad		PE	.Artmak, çoğalmak. -Erkek ve kadın adı olarak kullanılır.
Ege			U		OZEL	özel, ad		TR	Bir çocuğu koruyan, işlerine bakan ve her halinden sorumlu olan. 
Egemen			E		OZEL	özel, ad		TR	Hakim, hüküm süren karşılığı olarak kullanılan bu kelime, hem kök, hem de ek olarak yanlıştır. Türkçe'de ne "eğe" kökü, ne de "man-men" şeklinde isim yapım eki vardır.
Egenur			K		OZEL	özel, ad		TR	Bir çocuğu koruyan, işlerine bakan ve her halinden sorumlu olan. 
Egesel			E		OZEL	özel, ad		TR	Bir çocuğu koruyan, işlerine bakan ve her halinden sorumlu olan. 
Eğilmez			E		OZEL	özel, ad		TR	Başkalarının baskısını ve üstünlüğünü kabul etmeyen, baş eğmeyen.
Eğin			E		OZEL	özel, ad		TR	sırt, arka.
Ehad			U		OZEL	özel, ad		AR	.Bir, tek. 
Ehil			E		OZEL	özel, ad		AR	Sahip, malik. 
Ehlimen			E		OZEL	özel, ad		AR	inançlı inanan kimse.
Ehliyet			K		OZEL	özel, ad		AR	İşe yarar halde bulunuş, bir işi hakedebilecek durumda bulunuş, selahiyet, yetki. 
Ehlullah			E		OZEL	özel, ad		AR	Allah'ın adamı, veli, evliya. 
Ekâbir			E		OZEL	özel, ad		AR	Rütbece, görgü ve faziletçe büyük olanlar, devlet ricali.
Ekber			E		OZEL	özel, ad		AR	Daha büyük, çok büyük, en büyük, pek büyük, azam. -Allah'ın sıfatlanndandır. Kur'an-ı Kerim'de 23 yerde geçer. İsim olarak kullanılması iyi değildir. Hindistan'a hakim olan Türk hükümdarı.
Eke			E		OZEL	özel, ad		TR	Bilgili, deneyli, olgun. 
Ekemen			E		OZEL	özel, ad		TR	Bilgili, deneyli, olgun. 
Eker			E		OZEL	özel, ad		TR	Toprakla uğraşan.
Ekim			K		OZEL	özel, ad		TR	Toprağa ürün ekme işi. 
Ekin			U		OZEL	özel, ad		TR	Ekilmiş tahılın sürmüşü, tarlada bitmiş tahıl. 
Ekiner			E		OZEL	özel, ad		TR	Ekilmiş tahılın sürmüşü, tarlada bitmiş tahıl. 
Ekmel			E		OZEL	özel, ad		AR	l. Daha, pek kamil, mükemmel ve kusursuz olan. 
Ekmeleddin			E		OZEL	özel, ad		AR	Dinin en olgunu, en olgunlaştırdığı isim. 
Ekrem			E		OZEL	özel, ad		AR	Daha, en kerim. 
Ekvan			E		OZEL	özel, ad		AR	Varlıklar, alemler, dünyalar. -(bkz. Evren).
Ela			K		OZEL	özel, ad		AR	Sarıya çalan kestane rengi, göz rengi.
Elanur			K		OZEL	özel, ad		AR	Sarıya çalan kestane rengi, göz rengi.
Elburz			U		OZEL	özel, ad		PE	. Kafkaslarda en yüksek dağ. 
Elçi			E		OZEL	özel, ad		TR	Başka bir devlet nezdinde devletini temsil eden kişi. 
Eldemir			E		OZEL	özel, ad		TR	Demir gibi güçlü el.
Elfaz			E		OZEL	özel, ad		AR	Sözler, sözcükler.
Elfida			K		OZEL	özel, ad		AR	Feda etme, gözden çıkarma, verme.
Elfiye			K		OZEL	özel, ad		AR	l- 1000 mısralık manzume. 
Elgin			E		OZEL	özel, ad		TR	Garip, yurdundan ayrılmış.
Elhan			U		OZEL	özel, ad		AR	.Nağmeler, ezgiler. -erkek ve kadın adı olarak kullanılır.
Elif			K		OZEL	özel, ad		AR	İslami alfabenin ilk harfi. Ebccd hesabında değeri birdir. 
Elife			K		OZEL	özel, ad		AR	İslami alfabenin ilk harfi. Ebccd hesabında değeri birdir. 
Elmas			K		OZEL	özel, ad		YU	Bilinen kıymetli taş. 
Elvan			U		OZEL	özel, ad		AR	Levnler, renkler, çok renkli, polikrom.Erkek ve kadın adı olarak kullanılır.
Elvida			U		OZEL	özel, ad		AR	Allah'a ısmarladık. Allah'a emanet olun yollu ayrılık hitabı,(bkz. el-Firak, el-Veda).Erkek ve kadın ismi olarak kullanılır.
Elyesa			E		OZEL	özel, ad		AR	Kur'an-ı Kerim'de adı geçen bir peygamber.
Eman			E		OZEL	özel, ad		AR	Emniyet. 
Emanet			K		OZEL	özel, ad		AR	Emniyet edilen kimseye bırakılan şey, eşya veya kimse. 
Emanetullah			E		OZEL	özel, ad		AR	Allah'ın emaneti.
Emanullah			E		OZEL	özel, ad		AR	Allah'ın emaneti. Devletin tebası, halk, millet.
Emeç			E		OZEL	özel, ad		TR	Hedef. 
Emek			E		OZEL	özel, ad		TR	Uzun, yorucu ve özenli çalışma. 
Emel			K		OZEL	özel, ad		AR	Ümit. 
Emin			E		OZEL	özel, ad		AR	Korkusuz kimse. 
Emine			K		OZEL	özel, ad		AR	Arapça'daki Amine kelimesinin Türkçeleştirilmiş şeklidir. 
Emir			E		OZEL	özel, ad		AR	Bir kavmin, bir şehrin başı. 
Emire			K		OZEL	özel, ad		AR	Bir kavmin, bir şehrin başı. 
Emirhan			E		OZEL	özel, ad		AT	Bir kavmin, bir şehrin başı. 
Emrah			E		OZEL	özel, ad		TR	Anadolu saz şairlerinden.
Emran			E		OZEL	özel, ad		AR	Kürkler, hayvan derileri.
Emre			E		OZEL	özel, ad		TR	Aşık. Mübtela. Vurgun.
Emreddin			E		OZEL	özel, ad		AR	Dinin emrettiği.Türk dil kuralları açısından "d/t" olarak kullanılır.
Emri			E		OZEL	özel, ad		AR	Emirle ilgili.
Emriye			K		OZEL	özel, ad		AR	Emirle ilgili.
Emrullah			E		OZEL	özel, ad		AR	Allah'ın emri.
Emsal			E		OZEL	özel, ad		AR	Kıssalar, hikayeler, destanlar. 
Enam			E		OZEL	özel, ad		AR	Bütün mahlukat, yaratılmış her şey. 
Enbiya			E		OZEL	özel, ad		AR	Peygamberler.
Ender			E		OZEL	özel, ad		AR	çok az, çok seyrek, çok az bulunur, pek nadir.
Ener			E		OZEL	özel, ad		TR	En yiğit, en kahraman kişi.
Energin			E		OZEL	özel, ad		TR	En olgun, çok olgun.
Enes			E		OZEL	özel, ad		AR	İnsan. 
Enfa			U		OZEL	özel, ad		AR	Çok yararlı, daha çok faydalı,(bkz. Nafi).Erkek ve kadın adı olarak kullanılır.
Enfal			E		OZEL	özel, ad		AR	Ganimet. 
Enfes			K		OZEL	özel, ad		AR	Çok güzel, en güzel.
Engiay			E		OZEL	özel, ad		TR	Ucu, bucağı görünmeyecek kadar çok geniş. 
Engin			E		OZEL	özel, ad		TR	Ucu, bucağı görünmeyecek kadar çok geniş. 
Enginalp			E		OZEL	özel, ad		TR	Değerli yiğit.
Enginer			E		OZEL	özel, ad		TR	İyi, güzel, değerli insan.
Enginiz			E		OZEL	özel, ad		TR	İz bırakacak kadar değerli insan.
Enginsoy			E		OZEL	özel, ad		TR	Geniş soydan gelen.
Enginsu			E		OZEL	özel, ad		TR	Açık deniz.
Engintalay			E		OZEL	özel, ad		TR	Büyük deniz, okyanus.
Engür			E		OZEL	özel, ad		TR	Çok gür. 
Enhar			U		OZEL	özel, ad		AR	Irmaklar, çaylar.Erkek ve kadın adı olarak kullanılır. Enhar. Kur'an-ı Kerim'de cennetlerin altlarından akan ırmaklar.
Enis			E		OZEL	özel, ad		AR	Dost arkadaş. 
Enise			K		OZEL	özel, ad		AR	Dost arkadaş. 
Ensar			E		OZEL	özel, ad		AR	Yardımcılar, muavinler, müdafiler, koruyucular. 
Ensarullah			E		OZEL	özel, ad		AR	Allah yolunda Rasûlullah(s.a.s)'a yardım edenler.
Envar			E		OZEL	özel, ad		AR	Ziyalar, aydınlıklar, ışıklar, parlaklıklar. -(bkz. Ziya).
Enver			E		OZEL	özel, ad		AR	Daha nurlu, en nurlu, çok parlak.
Eracar			E		OZEL	özel, ad		TR	Becerikli erkek.
Erakalın			E		OZEL	özel, ad		TR	Alnı ak, dürüst erkek.
Erakıncı			E		OZEL	özel, ad		TR	Yiğit akıncı.
Eraksan			E		OZEL	özel, ad		TR	Temiz adlı yiğit.
Eralkan			E		OZEL	özel, ad		TR	Al kanlı yiğit.
Eralp			E		OZEL	özel, ad		TR	Yiğit erkek.
Eraltay			E		OZEL	özel, ad		TR	Yiğit erkek.
Erandaç			E		OZEL	özel, ad		TR	Yiğit erkek.
Eranıl			E		OZEL	özel, ad		TR	Yiğitliğinle  anıl, tanın.
Eraslan			E		OZEL	özel, ad		TR	Aslan gibi, güçlü kuvvetli erkek.
Eravend			E		OZEL	özel, ad		PE	Şevk, arzu, istek. 
Eray			E		OZEL	özel, ad		TR	Erken ay, ilk ay, ayın ilk günlerinde doğan. -(bkz. İlkay).
Erbaşat			E		OZEL	özel, ad		TR	Yiğit erkek.
Erbatur			E		OZEL	özel, ad		TR	Cesur, yiğit.
Erbay			E		OZEL	özel, ad		TR	Soylu, ünlü aileye mensup erkek.
Erbelgin			E		OZEL	özel, ad		TR	Açık yürekli erkek.
Erben			E		OZEL	özel, ad		TR	Yiğit erkek.
Erberk			E		OZEL	özel, ad		TR	Şimşek gibi yiğit.
Erboğa			E		OZEL	özel, ad		TR	Boğa gibi güçlü erkek.
Erboy			E		OZEL	özel, ad		TR	Yiğit soydan gelen.
Ercan			E		OZEL	özel, ad		TR	Canlı, diri, sıhhatli erkek.
Ercihan			E		OZEL	özel, ad		TF	Cihanın tanıdığı erkek.
Ercivan			E		OZEL	özel, ad		TF	Genç erkek.
Ercüment			E		OZEL	özel, ad		PE	Muhterem, şerefli, itibarlı, haysiyetli, seçkin, saygın, değerli.
Ercüvan			U		OZEL	özel, ad		FA	Erguvan çiçeği. 
Erçelik			E		OZEL	özel, ad		TR	Çelik gibi güçlü erkek.
Erçetin			E		OZEL	özel, ad		TR	Sert, güçlü erkek.
Erçevik			E		OZEL	özel, ad		TR	Çevik, hızlı erkek.
Erçin			U		OZEL	özel, ad		PE	Merdiven, basamak.Erkek ve kadın adı olarak kullanılır.
Erda			K		OZEL	özel, ad		AR	Beyaz karınca.
Erdal			E		OZEL	özel, ad		TR	Tek erkek, dal gibi uzun erkek.
Erdem			E		OZEL	özel, ad		TR	Fazilet. 
Erdemalp			E		OZEL	özel, ad		TR	Erdemli yiğit.
Erdemay			K		OZEL	özel, ad		TR	Fazilet. 
Erdemer			E		OZEL	özel, ad		TR	Erdemli kimse.
Erdemir			E		OZEL	özel, ad		TR	Demir gibi güçlü erkek.
Erdemli			E		OZEL	özel, ad		TR	Erdemli, faziletli.
Erdeniz			E		OZEL	özel, ad		TR	Büyük su kütlesi. 
Erdeşir			E		OZEL	özel, ad		TR	Cesur, kahraman, aslan yürekli.
Erdi			E		OZEL	özel, ad		TR	Amacına ulaşan, erişen. 
Erdibike			K		OZEL	özel, ad		TR	Olgunluğa erişmiş, deneyimli kadın.
Erdim			E		OZEL	özel, ad		TR	Fazilet. 
Erdin			E		OZEL	özel, ad		TR	Amacına ulaşan, erişen. 
Erdinç			E		OZEL	özel, ad		TR	Duru, güçlü kuvvetli erkek.
Erdoğan			E		OZEL	özel, ad		TR	Yiğit doğan.
Erdönmez			E		OZEL	özel, ad		TR	Sözünden dönmeyen, doğru sözlü.
Erduran			E		OZEL	özel, ad		TR	Sözünden dönmeyen, doğru sözlü.
Erdurmuş			E		OZEL	özel, ad		TR	Sözünden dönmeyen, doğru sözlü.
Erdursun			E		OZEL	özel, ad		TR	Sözünden dönmeyen, doğru sözlü.
Erek			E		OZEL	özel, ad		TR	Gerçekleştirilmek için tasarlanan ve erişmek istenilen şey, amaç, gaye, hedef.
Ereken			E		OZEL	özel, ad		TR	Gerçekleştirilmek için tasarlanan ve erişmek istenilen şey, amaç, gaye, hedef.
Erel			E		OZEL	özel, ad		TR	Erkek eli, güçlü el.
Eren			E		OZEL	özel, ad		TR	Yetişen, ulaşan, vasıl olan. 
Erenalp			E		OZEL	özel, ad		TR	Yetişen, ulaşan, vasıl olan. 
Erenay			E		OZEL	özel, ad		TR	Yetişen, ulaşan, vasıl olan. 
Erencan			E		OZEL	özel, ad		TR	Yetişen, ulaşan, vasıl olan. 
Erendiz			E		OZEL	özel, ad		TR	Gezegenlerin en büyüğü ve güneşe yakınlık bakımından beşincisi Jüpiter.
Erengüç			E		OZEL	özel, ad		TR	Yetişen, ulaşan, vasıl olan. 
Erengül			K		OZEL	özel, ad		TR	Yetişen, ulaşan, vasıl olan. 
Erenöz			E		OZEL	özel, ad		TR	Yetişen, ulaşan, vasıl olan. 
Erensoy			E		OZEL	özel, ad		TR	Yetişen, ulaşan, vasıl olan. 
Erensu			E		OZEL	özel, ad		TR	Yetişen, ulaşan, vasıl olan. 
Erentürk			E		OZEL	özel, ad		TR	Eren-türk.
Erer			E		OZEL	özel, ad		TR	Ulaşır, kavuşur.
Eretna			E		OZEL	özel, ad		TR	XIV. yy. Orta Anadolu'da Sivas ve Kayseri'de beylik kuran bir zat. Aslen Uygur Türkleri'nden olup Küçük Asya'da Anadolu Selçuklularına ait yerleri idarelerine almış olan İlhanlıların emirlerinden biri. Adil yönelimi sayesinde halkın övgüsünü almış ve kendisine "köse peygamber" lakabı verilmiştir.
Erez			E		OZEL	özel, ad		AR	Acıbadem ağacı.
Erginer			E		OZEL	özel, ad		TR	Olgun erkek.
Ergalip			E		OZEL	özel, ad		TA	Üstün, yenen kimse.
Ergazi			E		OZEL	özel, ad		TA	Üstün, yenen kimse.
Erge			K		OZEL	özel, ad		TR	Şımarık, nazlı.
Ergenç			E		OZEL	özel, ad		TR	Genç erkek.
Ergener			E		OZEL	özel, ad		TR	Genç erkek.
Ergi			E		OZEL	özel, ad		TR	İyi, güzel bir şeye erişme.
Ergin			E		OZEL	özel, ad		TR	Olmuş, yetişmiş, kemale ermiş. 
Erginalp			E		OZEL	özel, ad		TR	Olmuş, yetişmiş, kemale ermiş. 
Erginay			E		OZEL	özel, ad		TR	Olmuş, yetişmiş, kemale ermiş. 
Ergincan			E		OZEL	özel, ad		TR	Olgun ruhlu kimse.
Erginsoy			E		OZEL	özel, ad		TR	Olgun kişilerin soyundan gelen.
Ergintuğ			E		OZEL	özel, ad		TR	Olmuş, yetişmiş, kemale ermiş. 
Ergök			E		OZEL	özel, ad		TR	Olmuş, yetişmiş, kemale ermiş. 
Ergökmen			E		OZEL	özel, ad		TR	Mavi gözlü, sanşın kimse.
Ergönül			E		OZEL	özel, ad		TR	Gönül eri, iyi insan.
Ergun			E		OZEL	özel, ad		PE	Sert başlı, oynak ve hızlı giden at. Ergun Celaleddin Çelebi
Ergunalp			E		OZEL	özel, ad		FT	Hızlı, çevik, yiğit.
Erguner			E		OZEL	özel, ad		FT	Hızlı, çevik erkek.
Erguvan			E		OZEL	özel, ad		PE	Kırmızımtrak bir çiçek.
Ergüç			E		OZEL	özel, ad		TR	Erkek gücü.
Ergüden			E		OZEL	özel, ad		TR	Yiğitlik eden erkek. 
Ergüder			E		OZEL	özel, ad		TR	Yiğitlik eden erkek. 
Ergül			U		OZEL	özel, ad		TR	Nadide gül, tek gül.Erkek ve kadın adı olarak kullanılır.
Ergüleç			E		OZEL	özel, ad		TR	Güleryüzlü erkek.
Ergümen			E		OZEL	özel, ad		TR	Amacına, isteğine kavuşan.
Ergün			E		OZEL	özel, ad		TR	Yumuşak uysal kimse. 
Ergünay			E		OZEL	özel, ad		TR	Yumuşak uysal kimse. 
Ergüner			E		OZEL	özel, ad		TR	Yumuşak huylu, uysal erkek.
Ergüven			E		OZEL	özel, ad		TR	Kendine güvenen.
Ergüvenç			E		OZEL	özel, ad		TR	Güven duyulan kimse.
Erhan			E		OZEL	özel, ad		TR	İyi, adaletli hükümdar.
Erib			E		OZEL	özel, ad		AR	Akıllı, zeki kimse.
Eribe			K		OZEL	özel, ad		AR	Akıllı, zeki kimse.
Erike			K		OZEL	özel, ad		AR	Taht.
Eriker			E		OZEL	özel, ad		TR	Becerikli, yürekli adam.
Erim			E		OZEL	özel, ad		TR	Bir şeyin erebileceği uzaklık. 
Erimel			E		OZEL	özel, ad		TR	Bir şeyin erebileceği uzaklık. 
Erimşah			E		OZEL	özel, ad		TR	Bir şeyin erebileceği uzaklık. 
Erinç			E		OZEL	özel, ad		TR	Rahat, huzur.
Erinçer			E		OZEL	özel, ad		TR	Huzur veren kimse.
Eripek			E		OZEL	özel, ad		TR	Yumuşak, uysal erkek.
Eris			E		OZEL	özel, ad		PE	Zeki, uyanık, azılı.
Erkal			E		OZEL	özel, ad		TR	Erkek kal, adam olarak kal.
Erkam			E		OZEL	özel, ad		AR	Rakamlar, sayılar, yazılar. Erkam b. Erkam
Erkan			E		OZEL	özel, ad		AR	Bir topluluğun ileri gelenleri, büyükler, üstler. 
Erke			U		OZEL	özel, ad		TR	İş başarma gücü. 
Erkel			E		OZEL	özel, ad		TR	Güçlü, kudretli el.
Erkılıç			E		OZEL	özel, ad		TR	Kılıç gibi keskin güçlü yiğit.
Erkınay			E		OZEL	özel, ad		TR	Çalışan erkek.
Erkin			E		OZEL	özel, ad		TR	Serbest, hür.
Erkiner			E		OZEL	özel, ad		TR	Bağımsız, özgür insan.
Erkman			E		OZEL	özel, ad		TR	Güçlü, etkili, sözü geçen kimse.
Erkoç			E		OZEL	özel, ad		TR	Güçlü, iriyarı erkek.
Erkoçak			E		OZEL	özel, ad		TR	Yürekli, eli açık. 
Erksan			E		OZEL	özel, ad		TR	Güçlü, etkili san, tanınmış ad.
Erksoy			E		OZEL	özel, ad		TR	Güçlü soydan gelen.
Erksun			E		OZEL	özel, ad		TR	Gücünü, kudretini göster.
Erkul			E		OZEL	özel, ad		TR	Erkek kul, güçlü kuvvetli adam, kul.
Erkut			E		OZEL	özel, ad		TR	Güçlü, dayanıklı erkek. 
Erkutay			E		OZEL	özel, ad		TR	Uğurlu ayda doğan erkek.
Erma			K		OZEL	özel, ad		AR	Çok güzel ve cilveli olan.
Erman			E		OZEL	özel, ad		PE	Arzu, istek. 
Ermin			E		OZEL	özel, ad		PE	Keykubat'm dördüncü oğlu.
Ermiş			E		OZEL	özel, ad		TR	Allah'a yönelmiş ve bu yolda merhale katetmiş kimse. 
Ermiye			E		OZEL	özel, ad		AR	Dolu yağdıran kasırga.
Ernoyan			E		OZEL	özel, ad		TR	Yiğit başkomutan.
Eroğuz			E		OZEL	özel, ad		TR	Yiğit kimse.
Erokay			E		OZEL	özel, ad		TR	Seçkin, beğenilen erkek.
Erol			E		OZEL	özel, ad		TR	Erkek ol."Er" ve "ol" kelimelerinden birleşik isim.
Eronat			E		OZEL	özel, ad		TR	Dürüst, güvenilir, iyi erkek.
Erozan			E		OZEL	özel, ad		TR	Erkek ozan, şair.
Eröz			E		OZEL	özel, ad		TR	Özü erkek, yiğit olan.
Ersal			E		OZEL	özel, ad		TR	Yiğitliğinle tanın.
Ersalmış			E		OZEL	özel, ad		TR	Yiğitliğinle tanın.
Ersan			E		OZEL	özel, ad		TR	l. Adıyla, sanıyla ünlenmiş erkek. 
Ersavaş			E		OZEL	özel, ad		TR	Yiğitliğinle tanın.
Ersayın			E		OZEL	özel, ad		TR	Saygı değer kimse.
Erseç			E		OZEL	özel, ad		TR	Seçkin ol.
Ersen			E		OZEL	özel, ad		PE	Meclis, kurultay, kongre.
Ersen			E		OZEL	özel, ad		TR	Mutlu, neşeli erkek.
Erserim			E		OZEL	özel, ad		TR	Serme işi. 
Erseven			E		OZEL	özel, ad		TR	Seven erkek.
Ersever			E		OZEL	özel, ad		TR	Seven erkek.
Ersevim			K		OZEL	özel, ad		TR	Sevimli, sempatik erkek.
Ersezen			E		OZEL	özel, ad		TR	Kavrayışı güçlü erkek.
Ersezer			E		OZEL	özel, ad		TR	Kavrayışı güçlü erkek.
Ersöz			E		OZEL	özel, ad		TR	Yiğit sözlü.
Ersu			E		OZEL	özel, ad		TR	Yiğit sözlü.
Ersunal			E		OZEL	özel, ad		TR	Yiğit sözlü.
Erşad			E		OZEL	özel, ad		TF	Sevinçli, mutlu erkek.
Erşahan			E		OZEL	özel, ad		TR	Şahin gibi güçlü yiğit.
Erşahin			E		OZEL	özel, ad		TR	Erkek şahin, kuş.
Erşan			E		OZEL	özel, ad		TR	Yiğitliğiyle tanınmış, ünlenmiş erkek.
Erşed			E		OZEL	özel, ad		AR	Er reşid, ergin olan, doğru yola daha yakın, hareket hattı daha iyi olan.(bkz. Reşid).
Ertan			E		OZEL	özel, ad		AR	Dericilerin,, yaprağıyla sahtiyan(deri) boyadıkları bir nevi ağaç.
Ertaş			E		OZEL	özel, ad		TR	Taş gibi erkek. -Er ve taş kelimelerinden birleşik isim.
Ertaylar			E		OZEL	özel, ad		TR	Uzun boylu, yakışıklı erkek.
Erte			E		OZEL	özel, ad		TR	Gelecek şafak, şafak sökme zamanı. 
Ertek			E		OZEL	özel, ad		TR	Tek, eşsiz yiğit.
Ertekin			E		OZEL	özel, ad		TR	Soylu erkek.Er ve tekin kelimelerinden birleşik isim.
Erten			E		OZEL	özel, ad		TR	Sabah güneşin doğduğu zaman. 
Ertingü			E		OZEL	özel, ad		TR	Olağanüstü görülmemiş.
Ertok			E		OZEL	özel, ad		TR	Gözü, gönlü tok yiğit.
Ertöre			E		OZEL	özel, ad		TR	Töreleri olan yiğit.
Ertuğ			E		OZEL	özel, ad		TR	Sorguç tutan erkek.
Ertuğrul			E		OZEL	özel, ad		TR	Dürüst, doğru, yiğit.Ertuğrul Gazi
Ertuna			E		OZEL	özel, ad		TR	Çok bol. 
Ertunç			E		OZEL	özel, ad		TR	l. Tunç renkli erkek. -
Ertunga			E		OZEL	özel, ad		TR	Yiğit hakan. 
Ertüze			E		OZEL	özel, ad		TR	(bkz. Tüze).
Erüstün			E		OZEL	özel, ad		TR	Üstün erkek.
Erva			U		OZEL	özel, ad		AR	Çok güzel genç. 
Ervin			K		OZEL	özel, ad		PE	Tecrübe, sınama, deneme. 
Eryalçın			E		OZEL	özel, ad		TR	Sert, güçlü, boyun eğmez yiğit.
Eryaman			E		OZEL	özel, ad		TR	Güçlü, becerikli.
Eryavuz			E		OZEL	özel, ad		TR	Yürekli, korkusuz.
Eryetiş			E		OZEL	özel, ad		TR	Erken gel.
Eryıldız			E		OZEL	özel, ad		TR	Yıldız gibi parlak yiğit.
Eryılmaz			E		OZEL	özel, ad		TR	Yılmayan, bıkmayan, azimli, sebatlı.
Erzade			E		OZEL	özel, ad		TF	Yiğit oğlu.
Erzan			E		OZEL	özel, ad		PE	Ucuz, bol. 
Esad			E		OZEL	özel, ad		AR	Oldukça mutlu, daha saadetli. 
Esed			E		OZEL	özel, ad		AR	Arslan. Gazanfer. Haydar. Cesur ve kahraman kişi anlamında kullanılmıştır.
Esedullah			E		OZEL	özel, ad		AR	(Allah'ın arslanı) Hz. Ali, Hayber'in fethinde gösterdiği kahramanlıktan dolayı Rasûlullah(s.a.s), Hz. Ali'ye bu ismi vermiştir. Astronomi'de
Esedüddin			E		OZEL	özel, ad		AR	Dinin arslara.Şeref lakabıdır.
Esen			E		OZEL	özel, ad		TR	Sağ, salim, sağlıklı.Erkek ve kadın adı olarak kullanılır.
Esenboğa			E		OZEL	özel, ad		TR	Sağ, salim, sağlıklı.Erkek ve kadın adı olarak kullanılır.
Esendağ			E		OZEL	özel, ad		TR	Dağ gibi güven verici ve sağlam yaptı.
Esener			E		OZEL	özel, ad		TR	Sağlıklı, rahat kimse.
Esengül			K		OZEL	özel, ad		TR	Canlı, dipdiri, renkleriyle yeni açan güzel gül.
Esentürk			E		OZEL	özel, ad		TR	Güçlü, kuvvetli, sağlıklı Türk.
Eser			E		OZEL	özel, ad		AR	Nişan, alamet, iz. 
Esin			K		OZEL	özel, ad		TR	Rüzgar, sabah rüzgarı. 
Eslek			E		OZEL	özel, ad		TR	Çalışkan, gayretli. 
Esma			K		OZEL	özel, ad		AR	Adlar. 
Esmahan			K		OZEL	özel, ad		AR	Adlar. 
Esman			K		OZEL	özel, ad		AR	Bedeller, kıymetler, değerler.
Esme			K		OZEL	özel, ad		TR	Esmek fiili.
Esmer			K		OZEL	özel, ad		AR	Siyah, kara.
Esmeray			K		OZEL	özel, ad		AT	Siyah ay, buğday renkli, karayağız.
Esra			K		OZEL	özel, ad		AR	Daha hızlı, daha çabuk, en çabuk.
Esved			K		OZEL	özel, ad		AR	Siyah, kara.
Eş'ari			E		OZEL	özel, ad		AR	Ebu Musa Abdullah b. Kays el-Eş'ari(Öl. 935). Ünlü kelam alimi, Eş'ari mezhebinin, kurucusudur. 40 yaşına kadar Mutezile görüşü benimsemiş, daha sonra Basra camiinden de herkese ilan ederek Mutezile'yi bıraktığını açıklamıştır.
Eşay			E		OZEL	özel, ad		TR	Ay kadar güzel.
Eşca			E		OZEL	özel, ad		AR	En cesur, en yiğit kişi.
Eşfak			E		OZEL	özel, ad		AR	Daha şefkatli, çok merhametli.
Eşir			E		OZEL	özel, ad		AR	Çok sevinçli.
Eşlem			E		OZEL	özel, ad		AR	En selamatli, en emin, en doğru yol. 
Eşraf			E		OZEL	özel, ad		AR	Şerefli, saygın kimseler. 
Eşref			E		OZEL	özel, ad		AR	Daha şerefli, çok onurlu, çok aziz, pek muhterem. Eşrefi
Etem			E		OZEL	özel, ad		AR	Daha tam daha noksansız, mükemmel. -(bkz. Ekmel).
Ethem			E		OZEL	özel, ad		AR	Karayağız at. -Türk dil kuralı açısından "d/t" olarak kullanılır. İbrahim Edhem
Evcan			E		OZEL	özel, ad		TR	Evdeki insan evcimen.
Evcimen			E		OZEL	özel, ad		TR	Evine, ailesine bağlı. Ev işlerinde becerikli.
Evdegül			K		OZEL	özel, ad		TR	Güzel kız.
Evfa			E		OZEL	özel, ad		AR	Daha vefalı, cana yakın, sözünde duran.
Evin			K		OZEL	özel, ad		TR	Tohum, tane, öz cevher.
Evirgen			E		OZEL	özel, ad		TR	İşini bilen, tedbirli kimse.
Evla			K		OZEL	özel, ad		AR	Daha uygun, daha layık, daha iyi üstün. Hayırlı amel.
Evliya			E		OZEL	özel, ad		AR	Veliler. 
Evnur			K		OZEL	özel, ad		TR	Güzel kız.
Evra			K		OZEL	özel, ad		PE	Hisar.
Evren			E		OZEL	özel, ad		TR	Büyük yılan, ejderha. 
Evrensel			E		OZEL	özel, ad		TR	Alemşümül karşılığı olarak.Fransızca "Universal'e benzetilerek kullanılır.
Evvah			E		OZEL	özel, ad		AR	Çok ah eden. 
Evvel			U		OZEL	özel, ad		AR	İlk başlangıç, ilkin. 
Eygül			U		OZEL	özel, ad		TR	İyi.Erkek ve kadın adı olarak kullanılır.
