root	surfaces	lex	active	Id	flags	rules	Anlam
KOSGEB		kosgeb		KISALTMA		OKUNUSDAN_YAZILISA	Küçük ve Orta Ölçekli Sanayiyi Geliştirme ve Destekleme İdaresi Başkanlığı
KPDS		kapedese		KISALTMA		OKUNUSDAN_YAZILISA	Kamu Personeli Yabancı Dil Tespit Sınavı
krş.		Karşılaştırınız		KISALTMA_NOKTALI			Karşılaştırınız
KTÜ		katü		KISALTMA		OKUNUSDAN_YAZILISA	Karadeniz Teknik Üniversitesi
Kur.		Kurmay		KISALTMA_NOKTALI			Kurmay
Kur. Bşk.		Kurmay Başkanı, Başkanlığı		KISALTMA_NOKTALI			Kurmay Başkanı, Başkanlığı
KÜ				KISALTMA		OKUNUSDAN_YAZILISA	Kırıkkale Üniversitesi
l		litre		KISALTMA		OKUNUSDAN_YAZILISA	Litre
Lat.		Latince		KISALTMA_NOKTALI			Latince
LCV				KISALTMA		OKUNUSDAN_YAZILISA	Lütfen cevap veriniz
LES				KISALTMA		OKUNUSDAN_YAZILISA	Lisansüstü Eğitim Giriş Sınavı
LİBOR				KISALTMA		OKUNUSDAN_YAZILISA	Londra bankaları gecelik faiz oranı
LP				KISALTMA		OKUNUSDAN_YAZILISA	Uzunçalar (Long play)
LPG		lepege		KISALTMA		OKUNUSDAN_YAZILISA	Sıvılaştırılmış Petrol Gazı (Liquified Petroleum Gas)
Ltd.		Limitet		KISALTMA_NOKTALI			Limitet
M				KISALTMA		OKUNUSDAN_YAZILISA	Miladi
m		metre		KISALTMA		OKUNUSDAN_YAZILISA	Metre
Mac.		Macarca		KISALTMA_NOKTALI			Macarca
Mah.		Mahalle, mahallesi		KISALTMA_NOKTALI			Mahalle, mahallesi
Mah.		Mahkeme, mahkemesi		KISALTMA_NOKTALI			Mahkeme, mahkemesi
man.		Mantık		KISALTMA_NOKTALI			Mantık
mat.		Matematik		KISALTMA_NOKTALI			Matematik
MB				KISALTMA		OKUNUSDAN_YAZILISA	Bilgisayarda bellek birimi (megabyte)
MD.		Müdür, müdürlük, müdürlüğü		KISALTMA_NOKTALI			Müdür, müdürlük, müdürlüğü
MEB		meb		KISALTMA		OKUNUSDAN_YAZILISA	Millî Eğitim Bakanlığı
mec.		Mecaz		KISALTMA_NOKTALI			Mecaz
MGK		megeka		KISALTMA		OKUNUSDAN_YAZILISA	Millî Güvenlik Kurulu
mim.		Mimarlık		KISALTMA_NOKTALI			Mimarlık
min.		Mineraloji		KISALTMA_NOKTALI			Mineraloji
MİT		mit		KISALTMA		OKUNUSDAN_YAZILISA	Millî İstihbarat Teşkilatı
MK				KISALTMA		OKUNUSDAN_YAZILISA	Medeni Kanun
MKE		mekae		KISALTMA		OKUNUSDAN_YAZILISA	Makine ve Kimya Endüstrisi Kurumu
MKS		mekase		KISALTMA		OKUNUSDAN_YAZILISA	Metre-Kilogram-Saat
MKYK		mekeyeka		KISALTMA		OKUNUSDAN_YAZILISA	Merkez Karar Yönetim Kurulu
mm		milimetre		KISALTMA		OKUNUSDAN_YAZILISA	Milimetre
MOSSAD		mossad		KISALTMA		OKUNUSDAN_YAZILISA	İsrail Gizli Haber Alma Örgütü
MÖ				KISALTMA		OKUNUSDAN_YAZILISA	Milattan önce
MPİ				KISALTMA		OKUNUSDAN_YAZILISA	Millî Piyango İdaresi Genel Müdürlüğü
MPM				KISALTMA		OKUNUSDAN_YAZILISA	Millî Prodüktivite Merkezi
MS				KISALTMA		OKUNUSDAN_YAZILISA	Milattan sonra
MSÜ				KISALTMA		OKUNUSDAN_YAZILISA	Mimar Sinan Üniversitesi
MTA		metea		KISALTMA		OKUNUSDAN_YAZILISA	Maden Tetkik ve Arama Genel Müdürlüğü
MÜ				KISALTMA		OKUNUSDAN_YAZILISA	Marmara Üniversitesi
Müh.		Mühendis, mühendisi, mühendislik		KISALTMA_NOKTALI			Mühendis, mühendisi, mühendislik
Mür.		Müracaat		KISALTMA_NOKTALI			Müracaat
müz.		Müzik		KISALTMA_NOKTALI			Müzik
MYK		meyeka		KISALTMA		OKUNUSDAN_YAZILISA	Merkez Yönetim Kurulu
NASA		nasa		KISALTMA		OKUNUSDAN_YAZILISA	Amerikan Ulusal Havacılık ve Uzay Araştırmaları Merkezi (National Aeronautics and Space Administration)
NATO		nato		KISALTMA		OKUNUSDAN_YAZILISA	Kuzey Atlantik Antlaşması Teşkilatı (North Atlantic Treaty Organization)
NOTAM				KISALTMA		OKUNUSDAN_YAZILISA	Havacılar ve denizciler için uyarı bildirimi (Notice to Airmen)
Nö.		Nöbet, nöbetçi		KISALTMA_NOKTALI			Nöbet, nöbetçi
Nö. Sb.		Nöbetçi subayı		KISALTMA_NOKTALI			Nöbetçi subayı
Nu.		Numara		KISALTMA_NOKTALI			Numara
OAPEC				KISALTMA		OKUNUSDAN_YAZILISA	Petrol İhraç Eden Arap Ülkeleri Örgütü
ODTÜ		odtü		KISALTMA		OKUNUSDAN_YAZILISA	Orta Doğu Teknik Üniversitesi
OECD		oesidi		KISALTMA		OKUNUSDAN_YAZILISA	Ekonomik İş Birliği ve Kalkınma Teşkilatı (Organization for Economic Cooperation and Development)
Okt.		Okutman		KISALTMA_NOKTALI			Okutman
Onb.		Onbaşı		KISALTMA_NOKTALI			Onbaşı
OPEC		opek		KISALTMA		OKUNUSDAN_YAZILISA	Petrol İhraç Eden Ülkeler Teşkilatı (Organization of Petroleum Exporting Countries)
Opr.		Operatör		KISALTMA_NOKTALI			Operatör
Or.		Ordu		KISALTMA_NOKTALI			Ordu
Ora.		Oramiral		KISALTMA_NOKTALI			Oramiral
Ord.		Ordinaryüs		KISALTMA_NOKTALI			Ordinaryüs
Org.		Orgeneral		KISALTMA_NOKTALI			Orgeneral
Ort.		Ortaklık, ortakları, ortaklığı		KISALTMA_NOKTALI			Ortaklık, ortakları, ortaklığı
OSB				KISALTMA		OKUNUSDAN_YAZILISA	Organize Sanayi Bölgesi
Osm. T.		Osmanlı Türkçesi		KISALTMA_NOKTALI			Osmanlı Türkçesi
OYAK		oyak		KISALTMA		OKUNUSDAN_YAZILISA	Ordu Yardımlaşma Kurumu
ÖİB				KISALTMA		OKUNUSDAN_YAZILISA	Özelleştirme İdaresi Başkanlığı
öl.		Ölüm tarihi		KISALTMA_NOKTALI			Ölüm tarihi
ör.		Örnek		KISALTMA_NOKTALI			Örnek
ÖSS		ösese		KISALTMA		OKUNUSDAN_YAZILISA	Öğrenci Seçme Sınavı
ÖSYM		öseyeme		KISALTMA		OKUNUSDAN_YAZILISA	Öğrenci Seçme Yerleştirme Merkezi
ÖTV		öteve		KISALTMA		OKUNUSDAN_YAZILISA	Özel tüketim vergisi
ÖYK		öyeka		KISALTMA		OKUNUSDAN_YAZILISA	Özelleştirme Yüksek Kurulu
ÖYS		öyese		KISALTMA		OKUNUSDAN_YAZILISA	Öğrenci Yerleştirme Sınavı
öz.		Özel		KISALTMA_NOKTALI			Özel
ped.		Pedagoji		KISALTMA_NOKTALI			Pedagoji
PEN				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Yazarlar Birliği (International Association of Poets, Playwrights, Editors, Essayists and Novelists)
PETKİM		petkim		KISALTMA		OKUNUSDAN_YAZILISA	Petrokimya Endüstrisi Genel Müdürlüğü
PK		peka		KISALTMA		OKUNUSDAN_YAZILISA	Posta kutusu
PO		po		KISALTMA		OKUNUSDAN_YAZILISA	Petrol Ofisi
POAŞ		poaş		KISALTMA		OKUNUSDAN_YAZILISA	Petrol Ofisi Anonim Şirketi
Port.		Portekizce		KISALTMA_NOKTALI			Portekizce
Prof.		Profesör		KISALTMA_NOKTALI			Profesör
psikol.		Psikoloji		KISALTMA_NOKTALI			Psikoloji
PTT		petete		KISALTMA		OKUNUSDAN_YAZILISA	Posta ve Telgraf Teşkilatı Genel Müdürlüğü
RAM		rem		KISALTMA		OKUNUSDAN_YAZILISA	Bilgisayarda okunabilir ve yazılabilir bellek (Random Access Memory)
RC				KISALTMA		OKUNUSDAN_YAZILISA	Kızılhaç (Red Cross)
RCD				KISALTMA		OKUNUSDAN_YAZILISA	Kalkınma İçin Bölgesel İş Birliği (Regional Cooperation for Development)
RNA		renea		KISALTMA		OKUNUSDAN_YAZILISA	Ribo nükleik asit
ROM		rom		KISALTMA		OKUNUSDAN_YAZILISA	Bilgisayarda yalnızca okunabilir bellek (Read-Only Memory)
Ro-Ro		roro		KISALTMA		OKUNUSDAN_YAZILISA	Gemiye taşıt indirme bindirme (rolon-roloff)
RTÜK		rütük		KISALTMA		OKUNUSDAN_YAZILISA	Radyo ve Televizyon Üst Kurulu
Rum.		Rumence		KISALTMA_NOKTALI			Rumence
Rus.		Rusça		KISALTMA_NOKTALI			Rusça
S				KISALTMA		OKUNUSDAN_YAZILISA	Sayı
s.		Sayfa		KISALTMA_NOKTALI			Sayfa
sa.		Saat		KISALTMA_NOKTALI			Saat
SALT				KISALTMA		OKUNUSDAN_YAZILISA	Stratejik Silahların Sınırlandırılması Görüşmeleri (Strategic Arms Limitation Talks)
SAS		sas		KISALTMA		OKUNUSDAN_YAZILISA	Su Altı Savunma (Komandoları)
SAT		sat		KISALTMA		OKUNUSDAN_YAZILISA	Su Altı Taarruz (Komandoları)
Sb.		Subay		KISALTMA_NOKTALI			Subay
SBF		sebefe		KISALTMA		OKUNUSDAN_YAZILISA	Siyasal Bilgiler Fakültesi
SEK		sek		KISALTMA		OKUNUSDAN_YAZILISA	Süt Endüstrisi Kurumu AŞ
SEKA		seka		KISALTMA		OKUNUSDAN_YAZILISA	Selüloz ve Kâğıt Sanayii Kurumu
sf.		Sıfat		KISALTMA_NOKTALI			Sıfat
SHÇEK				KISALTMA		OKUNUSDAN_YAZILISA	Sosyal Hizmetler ve Çocuk Esirgeme Kurumu
SKT		sekate		KISALTMA		OKUNUSDAN_YAZILISA	Son kullanma tarihi
Sl.		Slavca		KISALTMA_NOKTALI			Slavca
Sn.		Sayın		KISALTMA_NOKTALI			Sayın
sn.		Saniye		KISALTMA_NOKTALI			Saniye
snt.		Santral		KISALTMA_NOKTALI			Santral
Sok.		Sokak		KISALTMA_NOKTALI			Sokak
sos.		Sosyoloji		KISALTMA_NOKTALI			Sosyoloji
SOS				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası yardım isteme uyarısı (Save Our Souls)
sp.		Spor		KISALTMA_NOKTALI			Spor
SPK		sepeka		KISALTMA		OKUNUSDAN_YAZILISA	Sermaye Piyasası Kurulu
SSCB		sesecebe		KISALTMA		OKUNUSDAN_YAZILISA	Sovyet Sosyalist Cumhuriyetleri Birliği
SSK		seseka		KISALTMA		OKUNUSDAN_YAZILISA	Sosyal Sigortalar Kurumu
STK		seteka		KISALTMA		OKUNUSDAN_YAZILISA	Sivil Toplum Kuruluşu
STÖ		seteö		KISALTMA		OKUNUSDAN_YAZILISA	Sivil Toplum Örgütü
SÜ				KISALTMA		OKUNUSDAN_YAZILISA	Selçuk Üniversitesi
Ş				KISALTMA		OKUNUSDAN_YAZILISA	Şirket
Şb.		Şube		KISALTMA_NOKTALI			Şube
T.		Türkçe		KISALTMA_NOKTALI			Türkçe
t		ton		KISALTMA		OKUNUSDAN_YAZILISA	Ton
TAEK		taek		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Atom Enerjisi Kurumu
TAI				KISALTMA		OKUNUSDAN_YAZILISA	Türk Havacılık Sanayii (Turkish Aerospace Industry)
TAO				KISALTMA		OKUNUSDAN_YAZILISA	Türk Anonim Ortaklığı
tar.		Tarih		KISALTMA_NOKTALI			Tarih
TARİŞ		tariş		KISALTMA		OKUNUSDAN_YAZILISA	Tarım Satış Kooperatifleri Birliği
TASS				KISALTMA		OKUNUSDAN_YAZILISA	Sovyetler Birliği Telgraf Ajansı (Telegrafnoe Agentstvo Sovetskogo Soyuza)
TAŞ				KISALTMA		OKUNUSDAN_YAZILISA	Türk Anonim Şirketi
Tb.		Tabur		KISALTMA_NOKTALI			Tabur
TBB				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Barolar Birliği
TBMM		tebememe		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Büyük Millet Meclisi
T.C.		Türkiye Cumhuriyeti		KISALTMA_NOKTALI			Türkiye Cumhuriyeti
TCDD		tecedede		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Cumhuriyeti Devlet Demiryolları
TCK		teceka		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Cumhuriyeti Karayolları
TCK		teceka		KISALTMA		OKUNUSDAN_YAZILISA	Türk Ceza Kanunu
TCMB		tecemebe		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Cumhuriyet Merkez Bankası
TCZB		tecezebe		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Cumhuriyeti Ziraat Bankası
TDÇİ				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Demir Çelik İşletmeleri
TDİ				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Denizcilik İşletmeleri
TDK		tedeka		KISALTMA		OKUNUSDAN_YAZILISA	Türk Dil Kurumu
TEAŞ		teaş		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Elektrik Üretim AŞ
TEDAŞ		tedaş		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Elektrik Dağıtım Anonim Şirketi
TEFE		tefe		KISALTMA		OKUNUSDAN_YAZILISA	Toptan eşya fiyatları endeksi
TEİAŞ				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Elektrik İletim AŞ
tek.		Teknik, teknoloji		KISALTMA_NOKTALI			Teknik, teknoloji
TEK				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Elektrik Kurumu
telg.		Telgraf		KISALTMA_NOKTALI			Telgraf
TEM		tem		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Transit Kara Yolu (Trans European Motor Way)
TETAŞ		tetaş		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Elektrik, Ticaret ve Taahhüt AŞ
TGC				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Gazeteciler Cemiyeti
TGS				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Gazeteciler Sendikası
Tğm.		Teğmen		KISALTMA_NOKTALI			Teğmen
THA				KISALTMA		OKUNUSDAN_YAZILISA	Türk Haberler Ajansı
THK		teheka		KISALTMA		OKUNUSDAN_YAZILISA	Türk Hava Kurumu
THK				KISALTMA		OKUNUSDAN_YAZILISA	Türk Hukuk Kurumu
THY		teheye		KISALTMA		OKUNUSDAN_YAZILISA	Türk Hava Yolları
TIR		tır		KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Kara Yolu Taşımacılığı (Transport International Routier)
tic.		Ticaret		KISALTMA_NOKTALI			Ticaret
TİGEM		tigem		KISALTMA		OKUNUSDAN_YAZILISA	Tarım İşletmeleri Genel Müdürlüğü
TİKA		tika		KISALTMA		OKUNUSDAN_YAZILISA	Türk İşbirliği ve Kalkınma İdaresi Başkanlığı
TİM		tim		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye İhracatçılar Merkezi
TİSK		tisk		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye İşverenler Sendikası Konfederasyonu
tiy.		Tiyatro		KISALTMA_NOKTALI			Tiyatro
TKAE				KISALTMA		OKUNUSDAN_YAZILISA	Türk Kültürünü Araştırma Enstitüsü
TKB				KISALTMA		OKUNUSDAN_YAZILISA	Türk Kadınlar Birliği
TKF				KISALTMA		OKUNUSDAN_YAZILISA	Toplu Konut Fonu
TKİ				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Kömür İşletmeleri
TL		tele		KISALTMA		OKUNUSDAN_YAZILISA	Türk lirası
tel.		Telefon		KISALTMA_NOKTALI			Telefon
tlks.		Teleks		KISALTMA_NOKTALI			Teleks
tls.		Telsiz		KISALTMA_NOKTALI			Telsiz
TM		teme		KISALTMA		OKUNUSDAN_YAZILISA	Türk malı
TMMOB				KISALTMA		OKUNUSDAN_YAZILISA	Türk Mühendis ve Mimar Odaları Birliği
TMO		temeo		KISALTMA		OKUNUSDAN_YAZILISA	Toprak Mahsulleri Ofisi
TOBB		tob		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Odalar ve Borsalar Birliği
TODAİE				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye ve Orta Doğu Amme İdaresi Enstitüsü
TOEFL		tofıl		KISALTMA		OKUNUSDAN_YAZILISA	Yabancı dil olarak İngilizce testi (Test of English as a Foreign Language)
TOKİ		toki		KISALTMA		OKUNUSDAN_YAZILISA	Toplu Konut İdaresi Başkanlığı
Top.		Topçu		KISALTMA_NOKTALI			Topçu
TP		tepe		KISALTMA		OKUNUSDAN_YAZILISA	Türk Petrolleri
TPAO		tepeao		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Petrolleri Anonim Ortaklığı
TR		tere		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye
TRT		terete		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Radyo Televizyon Kurumu
TSE		tesee		KISALTMA		OKUNUSDAN_YAZILISA	Türk Standartları Enstitüsü
TSİ		tesei		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye saati ile
TSK		teseka		KISALTMA		OKUNUSDAN_YAZILISA	Türk Silahlı Kuvvetleri
TT				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Türkçesi
TTB				KISALTMA		OKUNUSDAN_YAZILISA	Türk Tabipleri Birliği
TTOK				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Turing ve Otomobil Kurumu
TTKB				KISALTMA		OKUNUSDAN_YAZILISA	Talim ve Terbiye Kurulu Başkanlığı
TTK				KISALTMA		OKUNUSDAN_YAZILISA	Türk Tarih Kurumu
Tug.		Tugay		KISALTMA_NOKTALI			Tugay
Tuğa.		Tuğamiral		KISALTMA_NOKTALI			Tuğamiral
Tuğg.		Tuğgeneral		KISALTMA_NOKTALI			Tuğgeneral
TUS		tus		KISALTMA		OKUNUSDAN_YAZILISA	Tıpta Uzmanlık Sınavı
TÜ				KISALTMA		OKUNUSDAN_YAZILISA	Trakya Üniversitesi
TÜBA		tüba		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Bilimler Akademisi
TÜBİTAK		tübitak		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Bilimsel ve Teknik Araştırma Kurumu
TÜFE		tüfe		KISALTMA		OKUNUSDAN_YAZILISA	Tüketici fiyatları endeksi
Tüm.		Tümen		KISALTMA_NOKTALI			Tümen
Tüma.		Tümamiral		KISALTMA_NOKTALI			Tümamiral
Tümg.		Tümgeneral		KISALTMA_NOKTALI			Tümgeneral
TÜPRAŞ		Tüpraş		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Petrol Rafinerileri Anonim Şirketi
TÜRDOK				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Dokümantasyon Merkezi
TÜRKSAT		türksat		KISALTMA		OKUNUSDAN_YAZILISA	Türk uydusu (Turkish satellite)
TÜRSAB		türsab		KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Seyahat Acenteleri Birliği
TÜTAV		tütav		KISALTMA		OKUNUSDAN_YAZILISA	Türk Tanıtma Vakfı
TV		tivi		KISALTMA		OKUNUSDAN_YAZILISA	Televizyon
TZDK				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Zirai Donatım Kurumu
TZOB				KISALTMA		OKUNUSDAN_YAZILISA	Türkiye Ziraat Odaları Birliği
UEFA		uefa		KISALTMA		OKUNUSDAN_YAZILISA	Avrupa Futbol Federasyonları Birliği (Union of European Football Associations)
UFO		ufo		KISALTMA		OKUNUSDAN_YAZILISA	Tanımlanmamış Uçan Nesne (Unidentified Flying Object)
UHF				KISALTMA		OKUNUSDAN_YAZILISA	Ultra yüksek frekans (Ultra High Frequency)
UK				KISALTMA		OKUNUSDAN_YAZILISA	Birleşik Krallık, İngiltere
UN				KISALTMA		OKUNUSDAN_YAZILISA	Birleşmiş Milletler (United Nations)
UNAC				KISALTMA		OKUNUSDAN_YAZILISA	Birleşmiş Milletler Çocuklara Yardım Teşkilatı (United Nations Aid to Children)
UNESCO		unesko		KISALTMA		OKUNUSDAN_YAZILISA	Birleşmiş Milletler Eğitim, Bilim ve Kültür Teşkilatı (United Nations Educational, Scientific and Cultural Organization)
UNICEF		unisef		KISALTMA		OKUNUSDAN_YAZILISA	Birleşmiş Milletler Uluslararası Çocuklara Yardım Fonu (United Nations International Children's Emergency Fund)
UNO				KISALTMA		OKUNUSDAN_YAZILISA	Birleşmiş Milletler Teşkilatı (United Nations Organization)
UPI				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Basın Birliği (United Press International)
UPU				KISALTMA		OKUNUSDAN_YAZILISA	Uluslararası Posta Birliği (Universal Postal Union)
USA		yuesey		KISALTMA		OKUNUSDAN_YAZILISA	Amerika Birleşik Devletleri
USAŞ				KISALTMA		OKUNUSDAN_YAZILISA	Uçak Sanayi AŞ
UÜ				KISALTMA		OKUNUSDAN_YAZILISA	Uludağ Üniversitesi
Uzm.		Uzman		KISALTMA_NOKTALI			Uzman
Ü				KISALTMA		OKUNUSDAN_YAZILISA	Üniversite
Üçvş.		Üstçavuş		KISALTMA_NOKTALI			Üstçavuş
ÜDS		üdese		KISALTMA		OKUNUSDAN_YAZILISA	Üniversiteler Arası Kurul Yabancı Dil Sınavı
ÜFE		üfe		KISALTMA		OKUNUSDAN_YAZILISA	Üretici fiyatları endeksi
ünl.		Ünlem		KISALTMA_NOKTALI			Ünlem
Ütğm.		Üsteğmen		KISALTMA_NOKTALI			Üsteğmen
ÜT				KISALTMA		OKUNUSDAN_YAZILISA	Üretim tarihi
vb.				KISALTMA_NOKTALI			Ve başkası, ve başkaları, ve benzeri, ve benzerleri, ve bunun gibi
vd.		Ve devamı, ve diğerleri		KISALTMA_NOKTALI			Ve devamı, ve diğerleri
VDMK				KISALTMA		OKUNUSDAN_YAZILISA	Varlığa Dayalı Menkul Kıymetler
Vet.		Veteriner		KISALTMA_NOKTALI			Veteriner
VHF				KISALTMA		OKUNUSDAN_YAZILISA	Çok yüksek frekans (Very High Frequency)
VIP		viaypi		KISALTMA		OKUNUSDAN_YAZILISA	Çok önemli kişi (Very Important Person)
vs.		Vesaire		KISALTMA_NOKTALI			Vesaire
w		vat		KISALTMA		OKUNUSDAN_YAZILISA	Elektrik güç birimi (Watt)
WAP		vap		KISALTMA		OKUNUSDAN_YAZILISA	Kablosuz uygulama protokolü; İnternet sistemine kablosuz erişim (Wireless Application Protocol)
WB				KISALTMA		OKUNUSDAN_YAZILISA	Dünya Bankası (World Bank)
WHO		hu		KISALTMA		OKUNUSDAN_YAZILISA	Dünya Sağlık Örgütü (World Health Organization)
WTO				KISALTMA		OKUNUSDAN_YAZILISA	Dünya Ticaret Örgütü (World Trade Organization)
Yrd. Doç.		Yardımcı Doçent		KISALTMA_NOKTALI			Yardımcı Doçent
Yay.		Yayını, yayınları		KISALTMA_NOKTALI			Yayını, yayınları
Yb.		Yarbay		KISALTMA_NOKTALI			Yarbay
YDS		yedese		KISALTMA		OKUNUSDAN_YAZILISA	Yabancı Dil Sınavı
Yd. Sb.		Yedek subay		KISALTMA_NOKTALI			Yedek subay
YKr		yeni kuruş		KISALTMA		OKUNUSDAN_YAZILISA	Yeni kuruş
YÖK		yök		KISALTMA		OKUNUSDAN_YAZILISA	Yükseköğretim Kurulu
YÖS		yös		KISALTMA		OKUNUSDAN_YAZILISA	Yabancı Uyruklu Öğrenci Sınavı
YSE				KISALTMA		OKUNUSDAN_YAZILISA	Yol, Su, Elektrik Genel Müdürlüğü
YSK		yeseka		KISALTMA		OKUNUSDAN_YAZILISA	Yüksek Seçim Kurulu
YTL		yetele		KISALTMA		OKUNUSDAN_YAZILISA	Yeni Türk lirası
YTÜ		yeteü		KISALTMA		OKUNUSDAN_YAZILISA	Yıldız Teknik Üniversitesi
Yun.		Yunanca		KISALTMA_NOKTALI			Yunanca
YURTKUR		yurtkur		KISALTMA		OKUNUSDAN_YAZILISA	Yükseköğrenim Kredi ve Yurtlar Kurumu
Y. Mim.		Yüksek mimar		KISALTMA_NOKTALI			Yüksek mimar
Y. Müh.		Yüksek mühendis		KISALTMA_NOKTALI			Yüksek mühendis
yy.		Yüzyıl		KISALTMA_NOKTALI			Yüzyıl
YYÜ				KISALTMA		OKUNUSDAN_YAZILISA	Yüzüncü Yıl Üniversitesi
Yzb.		Yüzbaşı		KISALTMA_NOKTALI			Yüzbaşı
zf.		Zarf		KISALTMA_NOKTALI			Zarf
ZF				KISALTMA		OKUNUSDAN_YAZILISA	Ziraat Fakültesi
zm.		Zamir		KISALTMA_NOKTALI			Zamir
ZMO				KISALTMA		OKUNUSDAN_YAZILISA	Ziraat Mühendisleri Odası
zool.		Zooloji		KISALTMA_NOKTALI			Zooloji
A		a		HARF		OKUNUSDAN_YAZILISA	
B		be		HARF		OKUNUSDAN_YAZILISA	
C		ce		HARF		OKUNUSDAN_YAZILISA	
Ç		çe		HARF		OKUNUSDAN_YAZILISA	
D		de		HARF		OKUNUSDAN_YAZILISA	
E		e		HARF		OKUNUSDAN_YAZILISA	
F		fe		HARF		OKUNUSDAN_YAZILISA	
G		ge		HARF		OKUNUSDAN_YAZILISA	
Ğ		yumuşak ge		HARF		OKUNUSDAN_YAZILISA	
H		he		HARF		OKUNUSDAN_YAZILISA	
İ		i		HARF		OKUNUSDAN_YAZILISA	
I		ı		HARF		OKUNUSDAN_YAZILISA	
J		je		HARF		OKUNUSDAN_YAZILISA	
K		ke		HARF		OKUNUSDAN_YAZILISA	
L		le		HARF		OKUNUSDAN_YAZILISA	
M		me		HARF		OKUNUSDAN_YAZILISA	
N		ne		HARF		OKUNUSDAN_YAZILISA	
O		o		HARF		OKUNUSDAN_YAZILISA	
Ö		ö		HARF		OKUNUSDAN_YAZILISA	
P		pe		HARF		OKUNUSDAN_YAZILISA	
R		re		HARF		OKUNUSDAN_YAZILISA	
S		se		HARF		OKUNUSDAN_YAZILISA	
Ş		şe		HARF		OKUNUSDAN_YAZILISA	
T		te		HARF		OKUNUSDAN_YAZILISA	
U		u		HARF		OKUNUSDAN_YAZILISA	
Ü		ü		HARF		OKUNUSDAN_YAZILISA	
V		ve		HARF		OKUNUSDAN_YAZILISA	
Y		ye		HARF		OKUNUSDAN_YAZILISA	
Z		ze		HARF		OKUNUSDAN_YAZILISA	
a		a		HARF		OKUNUSDAN_YAZILISA	
b		be		HARF		OKUNUSDAN_YAZILISA	
c		ce		HARF		OKUNUSDAN_YAZILISA	
ç		çe		HARF		OKUNUSDAN_YAZILISA	
d		de		HARF		OKUNUSDAN_YAZILISA	
e		e		HARF		OKUNUSDAN_YAZILISA	
f		fe		HARF		OKUNUSDAN_YAZILISA	
g		ge		HARF		OKUNUSDAN_YAZILISA	
ğ		yumuşak ge		HARF		OKUNUSDAN_YAZILISA	
h		he		HARF		OKUNUSDAN_YAZILISA	
i		i		HARF		OKUNUSDAN_YAZILISA	
ı		ı		HARF		OKUNUSDAN_YAZILISA	
j		je		HARF		OKUNUSDAN_YAZILISA	
k		ke		HARF		OKUNUSDAN_YAZILISA	
l		le		HARF		OKUNUSDAN_YAZILISA	
m		me		HARF		OKUNUSDAN_YAZILISA	
n		ne		HARF		OKUNUSDAN_YAZILISA	
o		o		HARF		OKUNUSDAN_YAZILISA	
ö		ö		HARF		OKUNUSDAN_YAZILISA	
p		pe		HARF		OKUNUSDAN_YAZILISA	
r		re		HARF		OKUNUSDAN_YAZILISA	
s		se		HARF		OKUNUSDAN_YAZILISA	
ş		şe		HARF		OKUNUSDAN_YAZILISA	
t		te		HARF		OKUNUSDAN_YAZILISA	
u		u		HARF		OKUNUSDAN_YAZILISA	
ü		ü		HARF		OKUNUSDAN_YAZILISA	
